metodo,mode,detect_target,evento,carburante,shock,break_date,break_method,pre_win_days,post_win_days,n_pre,n_post,pre_std_eurl,extra_mean_eurl,gain_total_meur,gain_ci_low_meur,gain_ci_high_meur,ts_slope,ts_intercept,ts_slope_ci_low,ts_slope_ci_high,pseudo_r2,boot_n,boot_sd_meur,boot_block_len,ci_type,sw_stat,sw_p,lb_stat,lb_p,bg_stat,bg_p,diag_n_lags,note
v7_theilsen,detected,price,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-04,glm_poisson_02c,40,40,40,30,0.027721,0.06571,52.8,27.3,72.5,-0.000265,0.17342,-0.001075,0.000331,0.0845,2000,11.32,7,block_bootstrap_95pct,0.7768,0.0,35.138,0.0001,31.704,0.0004,10,"Theil-Sen non-parametrico + block bootstrap circolare, mode=detected, detect=price, B=2000, L=7"
v7_theilsen,detected,price,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-05,glm_poisson_02c,40,40,40,29,0.046536,0.00591,13.0,-58.8,90.8,0.000408,0.16036,-0.000604,0.001,-0.0727,2000,37.76,7,block_bootstrap_95pct,0.6394,0.0,32.14,0.0004,35.299,0.0001,10,"Theil-Sen non-parametrico + block bootstrap circolare, mode=detected, detect=price, B=2000, L=7"
v7_theilsen,detected,price,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-17,glm_poisson_02c,40,40,40,36,0.009754,0.01844,24.1,-3.1,56.8,0.000226,0.23931,-0.00017,0.000485,0.0981,2000,15.61,7,block_bootstrap_95pct,0.9287,0.0146,108.749,0.0,33.969,0.0002,10,"Theil-Sen non-parametrico + block bootstrap circolare, mode=detected, detect=price, B=2000, L=7"
v7_theilsen,detected,price,Iran-Israele (Giu 2025),gasolio,2025-06-13,2025-06-19,glm_poisson_02c,40,40,40,34,0.01917,0.04218,135.1,69.4,241.5,-0.001132,0.19927,-0.001524,-0.000713,0.4987,2000,43.65,7,block_bootstrap_95pct,0.9387,0.0312,48.962,0.0,25.151,0.0051,10,"Theil-Sen non-parametrico + block bootstrap circolare, mode=detected, detect=price, B=2000, L=7"
v7_theilsen,detected,price,Hormuz (Feb 2026),benzina,2026-02-28,2026-03-04,glm_poisson_02c,40,40,40,28,0.015143,0.0107,9.7,-3.5,20.1,-0.000511,0.26342,-0.000877,-0.00021,0.327,2000,5.97,7,block_bootstrap_95pct,0.8578,0.0001,30.086,0.0008,24.237,0.007,10,"Theil-Sen non-parametrico + block bootstrap circolare, mode=detected, detect=price, B=2000, L=7"
v7_theilsen,detected,price,Hormuz (Feb 2026),gasolio,2026-02-28,2026-03-04,glm_poisson_02c,40,40,40,28,0.031586,-0.03244,-72.2,-130.7,-8.6,-0.000445,0.21417,-0.000893,8.3e-05,0.0939,2000,30.33,7,block_bootstrap_95pct,0.7045,0.0,15.111,0.1281,28.372,0.0016,10,"Theil-Sen non-parametrico + block bootstrap circolare, mode=detected, detect=price, B=2000, L=7"
