DATA_RILEVAZIONE,CODICE_PRODOTTO,NOME_PRODOTTO,PREZZO,ACCISA,IVA,NETTO,VARIAZIONE
2005-03-21,5,GPL,"553,56","156,62","92,26","304,68",0
2005-03-21,3,Gasolio riscaldamento,"1.014,9","403,21","169,15","442,54","7,9"
2005-03-21,6,O.C. fluido BTZ,"589,28","166,84","53,57","368,87","2,08"
2005-03-21,8,O.C. denso BTZ,"276,86","31,39",0,"245,47","3,77"
2005-04-04,1,Benzina,"1.187,92",564,"197,99","425,93","1,94"
2005-04-04,2,Gasolio auto,"1.074,63",413,"179,1","482,53","1,77"
2005-04-04,5,GPL,"553,56","156,62","92,26","304,68",0
2005-04-04,3,Gasolio riscaldamento,"1.025,15","403,21","170,86","451,08","10,25"
2005-04-04,6,O.C. fluido BTZ,"603,17","166,84","54,83","381,5","13,89"
2005-04-04,8,O.C. denso BTZ,"289,78","31,39",0,"258,39","12,92"
2005-04-11,1,Benzina,"1.236,35",564,"206,06","466,29","48,43"
2005-04-11,2,Gasolio auto,"1.122,8",413,"187,13","522,67","48,17"
2005-04-11,5,GPL,"553,81","156,62","92,3","304,89","0,25"
2005-04-11,3,Gasolio riscaldamento,"1.030,84","403,21","171,81","455,82","5,69"
2005-04-11,6,O.C. fluido BTZ,"608,22","166,84","55,29","386,09","5,05"
2005-04-11,8,O.C. denso BTZ,"313,53","31,39",0,"282,14","23,75"
2005-04-18,1,Benzina,"1.236,35",564,"206,06","466,29",0
2005-04-18,2,Gasolio auto,"1.122,8",413,"187,13","522,67",0
2005-04-18,5,GPL,"553,81","156,62","92,3","304,89",0
2005-04-18,3,Gasolio riscaldamento,"1.018,49","403,21","169,75","445,53","-12,35"
2005-04-18,6,O.C. fluido BTZ,"602,77","166,84","54,8","381,13","-5,45"
2005-04-18,8,O.C. denso BTZ,"289,2","31,39",0,"257,81","-24,33"
2005-04-25,1,Benzina,"1.234,89",564,"205,81","465,08","-1,46"
2005-04-25,2,Gasolio auto,"1.121,45",413,"186,91","521,54","-1,35"
2005-04-25,5,GPL,"553,81","156,62","92,3","304,89",0
2005-04-25,3,Gasolio riscaldamento,"1.016,08","403,21","169,35","443,52","-2,41"
2005-04-25,6,O.C. fluido BTZ,"605,23","166,84","55,02","383,37","2,46"
