evento,carburante,V1 – Naïve OLS,V3 – ARIMA/ITS,V7 – Theil-Sen Bootstrap,V4 – PYMC,range_meur,mean_meur,sign_agree
Hormuz (Feb 2026),benzina,-6.4,-6.4,-10.0,-20.8,3.5999999999999996,-7.6000000000000005,✓
Hormuz (Feb 2026),gasolio,-107.0,-102.8,-119.1,-123.2,16.299999999999997,-109.63333333333333,✓
Iran-Israele (Giu 2025),benzina,31.0,19.2,33.5,18.4,14.3,27.900000000000002,✓
Iran-Israele (Giu 2025),gasolio,22.7,22.7,13.4,-19.5,9.299999999999999,19.599999999999998,✓
Ucraina (Feb 2022),benzina,93.1,56.6,61.9,59.3,36.49999999999999,70.53333333333333,✓
Ucraina (Feb 2022),gasolio,514.4,482.1,287.8,190.5,226.59999999999997,428.09999999999997,✓
