metodo,mode,detect_target,evento,carburante,shock,break_date,break_method,pre_win_days,post_win_days,n_pre,n_post,pre_std_eurl,extra_mean_eurl,gain_total_meur,gain_ci_low_meur,gain_ci_high_meur,ci_type,alpha_med,alpha_sd,beta_med,beta_sd,sigma_med,rho_med,nu_med,pseudo_r2,gain_sd_meur,prob_gain_pos,n_mcmc_samples,rhat_max,ess_min,converged,sw_stat,sw_p,lb_stat,lb_p,bg_stat,bg_p,diag_n_lags,note
v8_pymc,fixed,fixed,Ucraina (Feb 2022),benzina,2022-02-24,2022-02-24,fixed_at_shock,40,40,40,38,0.01194,0.06514,65.7,23.0,97.6,HDI_bayesian_95pct,0.19176,0.01153,-2.5e-05,0.000428,0.00426,0.9148,4.26,-0.3418,18.72,1.0,2000,1.0023,536.0,True,0.9487,0.0683,67.65,0.0,26.563,0.0031,10,"Bayesian ITS PyMC AR(1) Student-T, mode=fixed, draws=1000, tune=600, chains=2, R_hat=1.002"
v8_pymc,fixed,fixed,Ucraina (Feb 2022),gasolio,2022-02-24,2022-02-24,fixed_at_shock,40,40,40,38,0.014676,0.02651,79.4,-50.0,232.3,HDI_bayesian_95pct,0.15953,0.01392,0.000344,0.000564,0.00906,0.8009,20.22,0.1859,69.88,0.9085,2000,1.0046,508.0,True,0.9732,0.4524,41.579,0.0,23.938,0.0078,10,"Bayesian ITS PyMC AR(1) Student-T, mode=fixed, draws=1000, tune=600, chains=2, R_hat=1.005"
v8_pymc,fixed,fixed,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-13,fixed_at_shock,40,40,40,40,0.008981,0.02791,40.5,1.6,83.3,HDI_bayesian_95pct,0.23296,0.00845,-0.000112,0.00035,0.00381,0.9129,10.51,-0.0726,20.29,0.9785,2000,1.0038,634.0,True,0.901,0.002,77.705,0.0,31.26,0.0005,10,"Bayesian ITS PyMC AR(1) Student-T, mode=fixed, draws=1000, tune=600, chains=2, R_hat=1.004"
v8_pymc,fixed,fixed,Iran-Israele (Giu 2025),gasolio,2025-06-13,2025-06-13,fixed_at_shock,40,40,40,40,0.016316,0.02929,110.7,-30.5,238.6,HDI_bayesian_95pct,0.20744,0.01085,-0.001045,0.000431,0.00631,0.8017,4.98,0.1595,67.76,0.9535,2000,1.0036,575.0,True,0.8909,0.0011,67.769,0.0,25.358,0.0047,10,"Bayesian ITS PyMC AR(1) Student-T, mode=fixed, draws=1000, tune=600, chains=2, R_hat=1.004"
v8_pymc,fixed,fixed,Hormuz (Feb 2026),benzina,2026-02-28,2026-02-28,fixed_at_shock,40,40,40,32,0.008237,0.00142,1.6,-25.6,28.5,HDI_bayesian_95pct,0.28228,0.00912,-3e-05,0.000355,0.00322,0.9028,2.65,-0.3959,13.92,0.5455,2000,1.0077,478.0,True,0.9562,0.1236,26.007,0.0037,17.224,0.0696,10,"Bayesian ITS PyMC AR(1) Student-T, mode=fixed, draws=1000, tune=600, chains=2, R_hat=1.008"
v8_pymc,fixed,fixed,Hormuz (Feb 2026),gasolio,2026-02-28,2026-02-28,fixed_at_shock,40,40,40,32,0.014983,-0.0215,-53.6,-150.8,69.1,HDI_bayesian_95pct,0.21597,0.01405,-0.000172,0.000555,0.00862,0.836,9.09,-0.0049,54.2,0.136,2000,1.0031,507.0,True,0.9641,0.2308,36.919,0.0001,25.703,0.0042,10,"Bayesian ITS PyMC AR(1) Student-T, mode=fixed, draws=1000, tune=600, chains=2, R_hat=1.003"
