metodo,mode,break_method,evento,carburante,shock,break_date,break_score_naive,pre_win_days,post_win_days,n_pre,n_post,pre_std_eurl,extra_mean_eurl,extra_sum_eurl,gain_total_meur,gain_ci_low_meur,gain_ci_high_meur,r2_ols,slope_eurl_day,ci_type,sw_stat,sw_p,lb_stat,lb_p,bg_stat,bg_p,diag_n_lags,note
v1_naive,detected,glm_poisson_02c,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-05,,40,40,40,29,0.030661,0.16223,4.7046,125.3,77.1,173.6,0.2282,-0.001253,OLS_iid_95pct,0.9395,0.0333,50.638,0.0,32.875,0.0003,10,"OLS naïve, residui i.i.d., mode=detected"
v1_naive,detected,glm_poisson_02c,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-05,,40,40,40,29,0.046536,0.1326,3.8453,302.2,70.1,534.3,0.1111,-0.001327,OLS_iid_95pct,0.8562,0.0001,36.357,0.0001,35.299,0.0001,10,"OLS naïve, residui i.i.d., mode=detected"
v1_naive,detected,glm_poisson_02c,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-17,,40,40,40,36,0.008985,0.02329,0.8386,30.6,2.9,58.2,0.0129,8.7e-05,OLS_iid_95pct,0.9298,0.0158,72.062,0.0,31.699,0.0004,10,"OLS naïve, residui i.i.d., mode=detected"
v1_naive,detected,glm_poisson_02c,Iran-Israele (Giu 2025),gasolio,2025-06-13,2025-06-19,,40,40,40,34,0.019069,0.04425,1.5044,141.5,26.0,257.0,0.3393,-0.00095,OLS_iid_95pct,0.9207,0.0081,56.294,0.0,26.554,0.0031,10,"OLS naïve, residui i.i.d., mode=detected"
v1_naive,detected,glm_poisson_02c,Hormuz (Feb 2026),benzina,2026-02-28,2026-03-04,,40,40,40,28,0.015143,0.04286,1.2,38.7,13.9,63.5,0.3746,-0.000793,OLS_iid_95pct,0.9284,0.0142,28.505,0.0015,24.237,0.007,10,"OLS naïve, residui i.i.d., mode=detected"
v1_naive,detected,glm_poisson_02c,Hormuz (Feb 2026),gasolio,2026-02-28,2026-03-04,,40,40,40,28,0.031586,0.01989,0.5569,44.3,-104.0,192.6,0.1555,-0.001065,OLS_iid_95pct,0.7946,0.0,16.484,0.0866,28.372,0.0016,10,"OLS naïve, residui i.i.d., mode=detected"
