evento,shock,carburante,detect_type,theta,lr_stat,p_value,theta_confirmed,L1_tau,L1_delta_eurl,L1_p_bonf,L2_cusum,L3_binseg,L4_pelt,Lw_theta_old,Lw_d_max
Ucraina (Feb 2022),2022-02-24,benzina,margin,2022-03-09,0.6313,0.42687,False,2022-03-09,0.09429,1.0,2022-04-24,2021-12-30; 2022-02-28; 2022-04-06,2021-12-30; 2022-02-28; 2022-04-06,2022-03-09,0.105271
Ucraina (Feb 2022),2022-02-24,gasolio,margin,2022-03-11,0.6184,0.43165,False,2022-01-16,-0.03153,1.0,2022-04-24,2022-01-04; 2022-02-28; 2022-03-27,2022-01-04; 2022-02-28; 2022-03-27,2022-03-11,0.132421
Iran-Israele (Giu 2025),2025-06-13,benzina,margin,2025-06-20,0.5436,0.46095,False,2025-06-21,0.02813,1.0,2025-08-13,2025-06-21; 2025-07-26,2025-06-21; 2025-07-26,2025-06-21,0.018145
Iran-Israele (Giu 2025),2025-06-13,gasolio,margin,2025-06-02,0.0574,0.8106,False,2025-05-08,-0.02891,1.0,2025-06-01,2025-05-07; 2025-06-06; 2025-07-01,2025-05-07; 2025-06-06; 2025-07-01,2025-06-04,0.005103
Hormuz (Feb 2026),2026-02-28,benzina,margin,2026-02-26,0.0209,0.88496,False,2026-03-24,0.09172,0.0099,2026-03-22,2026-02-25; 2026-03-17,2026-02-25; 2026-03-17,2026-02-26,0.003171
Hormuz (Feb 2026),2026-02-28,gasolio,margin,2026-03-02,0.1725,0.6779,False,2026-02-19,-0.04547,1.0,2026-03-23,2026-01-11,2026-01-11,2026-02-27,0.038625
