evento,shock,carburante,detect_type,theta,lr_stat,p_value,theta_confirmed,L1_tau,L1_delta_eurl,L1_p_bonf,L2_cusum,L3_binseg,L4_pelt,Lw_theta_old,Lw_d_max
Ucraina (Feb 2022),2022-02-24,benzina,price,2022-03-05,8.278,0.00401,True,2022-03-06,0.24385,0.4979,2022-04-24,2022-01-29; 2022-03-05,2022-01-29; 2022-03-05,2022-03-06,1.248085
Ucraina (Feb 2022),2022-02-24,gasolio,price,2022-03-05,11.9153,0.00056,True,2022-03-08,0.33154,1.0,2022-04-24,2022-01-24; 2022-03-05,2022-01-24; 2022-03-05,2022-03-07,2.246987
Iran-Israele (Giu 2025),2025-06-13,benzina,price,2025-06-17,0.6872,0.40712,False,2025-06-18,0.0306,1.0,2025-08-13,2025-04-27; 2025-05-12; 2025-06-16; 2025-07-01; 2025-07-26,2025-04-27; 2025-05-12; 2025-06-16; 2025-07-01; 2025-07-26,2025-06-17,0.02167
Iran-Israele (Giu 2025),2025-06-13,gasolio,price,2025-06-19,1.641,0.20018,False,2025-06-19,0.05785,0.0097,2025-08-13,2025-05-02; 2025-06-16,2025-05-02; 2025-06-16,2025-06-19,0.063318
Hormuz (Feb 2026),2026-02-28,benzina,price,2026-03-04,7.502,0.00616,True,2026-03-07,0.19612,1.0,2026-03-31,2026-03-02; 2026-03-17,2026-03-02; 2026-03-17,2026-03-08,0.633918
Hormuz (Feb 2026),2026-02-28,gasolio,price,2026-03-04,14.1314,0.00017,True,2026-03-06,0.36461,1.0,2026-03-31,2026-01-31; 2026-03-02; 2026-03-17,2026-01-31; 2026-03-02; 2026-03-17,2026-03-07,2.193524
