metodo,mode,break_method,covariate,evento,carburante,shock,break_date,pre_win_days,post_win_days,n_pre,n_post,abs_effect_avg_eurl,abs_effect_lo_eurl,abs_effect_hi_eurl,abs_effect_cum_eurl,rel_effect_pct,gain_total_meur,gain_ci_low_meur,gain_ci_high_meur,p_value_bayesian,posterior_prob_pct,ci_type,note
v5_causalimpact,detected,glm_poisson_02c,none,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-04,40,40,40,41,0.69331,0.09818,1.28844,28.4257,-156.77,769.4,105.9,1432.9,0.0112,98.9,BSTS_bayesian_95pct,"BSTS CausalImpact, baseline pre-shock, cov=none, mode=detected, consumi giornalieri reali"
v5_causalimpact,detected,glm_poisson_02c,none,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-05,40,40,40,41,0.98661,0.12168,1.85154,40.4509,-127.22,3160.6,394.2,5926.9,0.0127,98.7,BSTS_bayesian_95pct,"BSTS CausalImpact, baseline pre-shock, cov=none, mode=detected, consumi giornalieri reali"
v5_causalimpact,detected,glm_poisson_02c,none,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-17,40,40,40,41,0.04382,-0.02355,0.11119,1.7967,20.13,66.1,-36.9,169.2,0.1012,89.9,BSTS_bayesian_95pct,"BSTS CausalImpact, baseline pre-shock, cov=none, mode=detected, consumi giornalieri reali"
v5_causalimpact,detected,glm_poisson_02c,none,Iran-Israele (Giu 2025),gasolio,2025-06-13,2025-06-19,40,40,40,41,0.15444,0.05044,0.25843,6.3319,225.85,603.0,194.0,1011.9,0.0018,99.8,BSTS_bayesian_95pct,"BSTS CausalImpact, baseline pre-shock, cov=none, mode=detected, consumi giornalieri reali"
v5_causalimpact,detected,glm_poisson_02c,none,Hormuz (Feb 2026),benzina,2026-02-28,2026-03-04,40,40,40,41,0.08673,-0.00814,0.18161,3.556,43.42,114.7,-10.8,240.2,0.0366,96.3,BSTS_bayesian_95pct,"BSTS CausalImpact, baseline pre-shock, cov=none, mode=detected, consumi giornalieri reali"
v5_causalimpact,detected,glm_poisson_02c,none,Hormuz (Feb 2026),gasolio,2026-02-28,2026-03-04,40,40,40,41,0.62323,-0.0449,1.29135,25.5523,-144.57,2032.2,-146.4,4210.8,0.0338,96.6,BSTS_bayesian_95pct,"BSTS CausalImpact, baseline pre-shock, cov=none, mode=detected, consumi giornalieri reali"
