metodo,mode,detect_target,evento,carburante,shock,break_date,break_method,pre_win_days,post_win_days,n_pre,n_post,pre_std_eurl,extra_mean_eurl,gain_total_meur,gain_ci_low_meur,gain_ci_high_meur,ci_type,alpha_med,alpha_sd,beta_med,beta_sd,sigma_med,rho_med,nu_med,pseudo_r2,gain_sd_meur,prob_gain_pos,n_mcmc_samples,rhat_max,ess_min,converged,sw_stat,sw_p,lb_stat,lb_p,bg_stat,bg_p,diag_n_lags,note
v8_pymc,detected,price,Ucraina (Feb 2022),benzina,2022-02-24,2022-03-04,glm_poisson_02c,40,40,40,30,0.027721,0.04733,37.8,-6.0,84.9,HDI_bayesian_95pct,0.19105,0.01914,-0.000218,0.000734,0.00564,0.9209,2.36,-0.3903,23.07,0.947,2000,1.0003,861.0,True,0.771,0.0,34.938,0.0001,31.704,0.0004,10,"Bayesian ITS PyMC AR(1) Student-T, mode=detected, detect=price, draws=1000, tune=600, chains=2, R_hat=1.000"
v8_pymc,detected,price,Ucraina (Feb 2022),gasolio,2022-02-24,2022-03-05,glm_poisson_02c,40,40,40,29,0.046536,0.12987,300.5,-26.4,634.6,HDI_bayesian_95pct,0.07858,0.05236,-0.002348,0.001877,0.01826,0.9234,10.12,-0.0242,174.72,0.958,2000,1.0121,335.0,True,0.9435,0.0454,51.292,0.0,35.299,0.0001,10,"Bayesian ITS PyMC AR(1) Student-T, mode=detected, detect=price, draws=1000, tune=600, chains=2, R_hat=1.012"
v8_pymc,detected,price,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-17,glm_poisson_02c,40,40,40,36,0.009754,0.02214,29.5,-2.1,66.1,HDI_bayesian_95pct,0.23537,0.00848,0.00024,0.00032,0.00353,0.9141,11.85,0.027,17.36,0.965,2000,1.0014,630.0,True,0.9271,0.0129,108.759,0.0,33.969,0.0002,10,"Bayesian ITS PyMC AR(1) Student-T, mode=detected, detect=price, draws=1000, tune=600, chains=2, R_hat=1.001"
v8_pymc,detected,price,Iran-Israele (Giu 2025),gasolio,2025-06-13,2025-06-19,glm_poisson_02c,40,40,40,34,0.01917,0.05154,165.6,19.5,304.5,HDI_bayesian_95pct,0.19185,0.01433,-0.00125,0.000547,0.0075,0.8313,10.19,0.5511,70.54,0.982,2000,1.0059,461.0,True,0.9416,0.039,50.677,0.0,25.151,0.0051,10,"Bayesian ITS PyMC AR(1) Student-T, mode=detected, detect=price, draws=1000, tune=600, chains=2, R_hat=1.006"
v8_pymc,detected,price,Hormuz (Feb 2026),benzina,2026-02-28,2026-03-04,glm_poisson_02c,40,40,40,28,0.015143,-0.00359,-3.1,-31.8,22.6,HDI_bayesian_95pct,0.27507,0.01106,-0.000315,0.000398,0.00399,0.8684,2.47,-0.0465,14.13,0.4,2000,1.0057,511.0,True,0.8283,0.0,29.704,0.001,24.237,0.007,10,"Bayesian ITS PyMC AR(1) Student-T, mode=detected, detect=price, draws=1000, tune=600, chains=2, R_hat=1.006"
v8_pymc,detected,price,Hormuz (Feb 2026),gasolio,2026-02-28,2026-03-04,glm_poisson_02c,40,40,40,28,0.031586,-0.03808,-84.9,-202.1,34.4,HDI_bayesian_95pct,0.21653,0.01893,-0.000202,0.000688,0.00667,0.9034,2.33,0.0032,59.41,0.0845,2000,1.0058,606.0,True,0.6928,0.0,15.925,0.1018,28.372,0.0016,10,"Bayesian ITS PyMC AR(1) Student-T, mode=detected, detect=price, draws=1000, tune=600, chains=2, R_hat=1.006"
