evento,shock,carburante,detect_type,theta,lr_stat,p_value,theta_confirmed,L1_tau,L1_delta_eurl,L1_p_bonf,L2_cusum,L3_binseg,L4_pelt,Lw_theta_old,Lw_d_max
Ucraina (Feb 2022),2022-02-24,benzina,price,2022-03-04,6.2008,0.01277,True,2022-03-05,0.20645,1.0,2022-04-24,2022-01-29; 2022-03-05,2022-01-29; 2022-03-05,2022-03-05,0.808074
Ucraina (Feb 2022),2022-02-24,gasolio,price,2022-03-05,9.6684,0.00187,True,2022-03-06,0.29423,0.6063,2022-04-24,2022-01-24; 2022-03-05,2022-01-24; 2022-03-05,2022-03-06,1.627267
Iran-Israele (Giu 2025),2025-06-13,benzina,price,2025-06-17,0.7931,0.37316,False,2025-06-17,0.03332,1.0,2025-08-13,2025-04-27; 2025-05-17; 2025-06-16; 2025-07-01; 2025-07-26,2025-04-27; 2025-05-17; 2025-06-16; 2025-07-01; 2025-07-26,2025-06-17,0.024145
Iran-Israele (Giu 2025),2025-06-13,gasolio,price,2025-06-19,1.9613,0.16137,False,2025-06-19,0.05526,0.0387,2025-08-13,2025-05-02; 2025-06-16; 2025-07-26,2025-05-02; 2025-06-16; 2025-07-26,2025-06-19,0.058368
Hormuz (Feb 2026),2026-02-28,benzina,price,2026-03-04,6.4551,0.01106,True,2026-03-24,0.20184,0.7088,2026-03-31,2026-03-02; 2026-03-17,2026-03-02; 2026-03-17,2026-03-06,0.484222
Hormuz (Feb 2026),2026-02-28,gasolio,price,2026-03-04,13.104,0.00029,True,2026-03-06,0.34132,1.0,2026-03-31,2026-03-02,2026-03-02,2026-03-06,1.91428
