metodo,mode,break_method,evento,carburante,shock,break_date,break_score_naive,pre_win_days,post_win_days,n_pre,n_post,pre_std_eurl,extra_mean_eurl,extra_sum_eurl,gain_total_meur,gain_ci_low_meur,gain_ci_high_meur,r2_ols,slope_eurl_day,ci_type,sw_stat,sw_p,lb_stat,lb_p,bg_stat,bg_p,diag_n_lags,note
v1_naive,fixed,fixed_at_shock,Ucraina (Feb 2022),benzina,2022-02-24,2022-02-24,,40,40,40,38,0.01194,0.04352,1.6539,44.4,16.9,71.9,0.0803,-0.000289,OLS_iid_95pct,0.9453,0.0524,63.28,0.0,26.563,0.0031,10,"OLS naïve, residui i.i.d., mode=fixed"
v1_naive,fixed,fixed_at_shock,Ucraina (Feb 2022),gasolio,2022-02-24,2022-02-24,,40,40,40,38,0.014676,-0.02238,-0.8504,-67.5,-159.0,23.9,0.2327,0.000606,OLS_iid_95pct,0.9588,0.1529,37.217,0.0001,23.938,0.0078,10,"OLS naïve, residui i.i.d., mode=fixed"
v1_naive,fixed,fixed_at_shock,Iran-Israele (Giu 2025),benzina,2025-06-13,2025-06-13,,40,40,40,40,0.00984,0.015,0.6001,21.8,-10.7,54.3,0.0912,0.000254,OLS_iid_95pct,0.9387,0.0312,84.451,0.0,31.809,0.0004,10,"OLS naïve, residui i.i.d., mode=fixed"
v1_naive,fixed,fixed_at_shock,Iran-Israele (Giu 2025),gasolio,2025-06-13,2025-06-13,,40,40,40,40,0.014661,0.02608,1.0433,99.1,9.7,188.5,0.5262,-0.00091,OLS_iid_95pct,0.9758,0.5375,42.272,0.0,18.878,0.0418,10,"OLS naïve, residui i.i.d., mode=fixed"
v1_naive,fixed,fixed_at_shock,Hormuz (Feb 2026),benzina,2026-02-28,2026-02-28,,40,40,40,32,0.008237,-0.0026,-0.0832,-2.7,-20.4,15.0,0.1933,-0.00031,OLS_iid_95pct,0.9428,0.0431,22.539,0.0126,17.224,0.0696,10,"OLS naïve, residui i.i.d., mode=fixed"
v1_naive,fixed,fixed_at_shock,Hormuz (Feb 2026),gasolio,2026-02-28,2026-02-28,,40,40,40,32,0.014983,-0.04466,-1.4293,-113.7,-202.0,-25.3,0.0031,-7.1e-05,OLS_iid_95pct,0.9607,0.1773,37.67,0.0,25.703,0.0042,10,"OLS naïve, residui i.i.d., mode=fixed"
