evento,carburante,V1 – Naïve OLS,V3 – ARIMA/ITS,V7 – Theil-Sen Bootstrap,V4 – PYMC,range_meur,mean_meur,sign_agree
Hormuz (Feb 2026),benzina,18.7,10.7,9.7,-3.1,9.0,13.033333333333331,✓
Hormuz (Feb 2026),gasolio,-3.9,-3.9,-72.2,-84.9,68.3,-26.666666666666668,✓
Iran-Israele (Giu 2025),benzina,24.1,24.1,24.1,29.5,0.0,24.100000000000005,✓
Iran-Israele (Giu 2025),gasolio,165.6,98.1,135.1,165.6,67.5,132.9333333333333,✓
Ucraina (Feb 2022),benzina,76.7,75.6,52.8,37.8,23.900000000000006,68.36666666666667,✓
Ucraina (Feb 2022),gasolio,184.7,180.7,13.0,300.5,171.7,126.13333333333333,✓
